Symbol,Direction,PValue,Dataset
CENPM,-1,9.25E-06,Discovery
LYPD1,1,2.20E-08,Discovery
SIAE,1,2.39E-10,Discovery
QPRT,1,5.39E-05,Discovery
SRPK2,-1,4.89E-12,Discovery
ZNF16,1,2.63E-08,Discovery
CHGA,1,4.66E-06,Discovery
FOS,1,1.79E-06,Discovery
PRLR,1,2.76E-07,Discovery
GUSB,1,7.03E-11,Discovery
DCP2,-1,1.45E-05,Discovery
LRP10,1,3.84E-11,Discovery
RAD51AP1,-1,2.32E-05,Discovery
PPP1R15B,-1,2.33E-11,Discovery
CENPQ,-1,0.0016156429,Discovery
OPN3,1,7.52E-10,Discovery
YTHDC1,1,1.33E-06,Discovery
HLA-A,1,0.0005466618993,Discovery
KCNF1,1,4.45E-10,Discovery
SVIL,1,6.20E-12,Discovery
CHAC2,-1,1.55E-06,Discovery
CSNK1A1L,-1,5.95E-11,Discovery
SYTL2,1,1.91E-05,Discovery
ACTA2,1,4.95E-11,Discovery
CLIC4,-1,2.51E-10,Discovery
MND1,-1,4.97E-07,Discovery
CLCC1,-1,1.86E-09,Discovery
ZC3H12A,1,5.06E-06,Discovery
MAP3K7IP2,-1,1.45E-08,Discovery
OAS1,1,2.89E-07,Discovery
SP110,1,2.45E-08,Discovery
PTPN2,-1,4.66E-09,Discovery
CAST,-1,1.88E-12,Discovery
LMNB1,-1,3.74E-11,Discovery
S100A7A,1,0.006897309106,Discovery
RHOC,1,2.77E-09,Discovery
IFITM2,1,1.36E-10,Discovery
SEPHS1,-1,9.72E-10,Discovery
IL20,1,1.00E-11,Discovery
PBK,-1,2.45E-08,Discovery
EXO1,-1,5.21E-08,Discovery
HLTF,-1,0.003481092693,Discovery
DOC2A,-1,1.72E-07,Discovery
C9orf58,-1,5.95E-08,Discovery
OAS2,1,3.25E-11,Discovery
CHAF1B,-1,9.97E-06,Discovery
UBE2H,1,4.35E-07,Discovery
C9orf95,1,5.49E-09,Discovery
CIRBP,1,1.24E-09,Discovery
C15orf42,-1,7.06E-08,Discovery
OASL,1,2.87E-10,Discovery
UBE1L2,-1,7.55E-05,Discovery
NDUFA7,1,9.14E-10,Discovery
LOC389833,1,8.16E-09,Discovery
ALDH1B1,-1,3.59E-10,Discovery
LSM6,-1,4.82E-11,Discovery
OAS1,1,2.58E-11,Discovery
IBTK,-1,0.0002191201145,Discovery
IFNGR1,1,4.82E-09,Discovery
MST4,-1,0.0005971971625,Discovery
DARS2,-1,1.16E-08,Discovery
PAK2,1,2.00E-14,Discovery
TNFRSF11B,1,2.76E-05,Discovery
CUEDC1,1,3.43E-07,Discovery
ABCE1,-1,3.76E-05,Discovery
DDIT3,1,1.45E-08,Discovery
LOC727922,-1,1.01E-05,Discovery
CYFIP2,1,5.52E-09,Discovery
CCDC14,-1,3.84E-05,Discovery
LRP8,-1,1.15E-09,Discovery
ABCC3,1,3.88E-09,Discovery
CNOT1,-1,8.92E-11,Discovery
RAB24,1,6.60E-09,Discovery
TRIM21,1,1.14E-09,Discovery
ARHGDIB,1,9.58E-09,Discovery
RRM2,-1,1.37E-05,Discovery
SIL1,1,4.49E-08,Discovery
C9orf127,1,1.34E-06,Discovery
UBD,1,1.01E-07,Discovery
SLC3A2,1,1.00E-06,Discovery
SBDS,-1,1.74E-09,Discovery
ZNF93,-1,5.87E-09,Discovery
ZNF581,1,2.98E-09,Discovery
PIP,1,3.25E-09,Discovery
IGSF1,1,9.75E-06,Discovery
HNRPL,-1,4.95E-07,Discovery
MLF1IP,-1,5.96E-06,Discovery
SIVA1,-1,7.17E-08,Discovery
PRELID1,-1,1.14E-06,Discovery
TP53I3,1,3.27E-06,Discovery
C10orf116,1,4.15E-12,Discovery
CADM1,1,2.69E-07,Discovery
USP49,-1,1.85E-08,Discovery
PDGFRL,1,1.61E-12,Discovery
ATP2B4,1,8.86E-05,Discovery
KIAA1333,-1,0.0001858549979,Discovery
CIT,-1,2.84E-08,Discovery
SELENBP1,1,8.89E-08,Discovery
NUCKS1,-1,3.56E-05,Discovery
GLRX2,-1,4.95E-07,Discovery
TUBB2B,1,0.0002842428941,Discovery
AURKA,-1,9.57E-09,Discovery
PURA,-1,1.66E-05,Discovery
AGPAT2,1,2.02E-08,Discovery
SPINK4,1,1.21E-08,Discovery
MCM2,-1,2.06E-09,Discovery
ZNF277P,1,4.32E-06,Discovery
OASL,1,1.17E-07,Discovery
GGH,-1,5.52E-07,Discovery
GAL,-1,1.82E-09,Discovery
IFNB1,1,2.44E-09,Discovery
ARL13B,-1,0.001344387324,Discovery
CXCL2,1,2.86E-05,Discovery
LOC203547,-1,0.0003109495277,Discovery
SMAD3,1,2.05E-07,Discovery
C13orf27,-1,1.57E-06,Discovery
EDN1,1,1.25E-11,Discovery
SYTL2,1,3.42E-06,Discovery
SPANXC,1,0.02377190668,Discovery
FANCC,-1,4.57E-07,Discovery
PRICKLE2,1,2.61E-10,Discovery
SLC25A32,-1,2.39E-12,Discovery
ST3GAL1,1,1.18E-08,Discovery
CDCA5,-1,1.45E-08,Discovery
CSDE1,1,3.79E-07,Discovery
DNAPTP6,1,1.08E-10,Discovery
LAP3,1,3.18E-10,Discovery
SLC7A1,-1,8.34E-08,Discovery
IFIT3,1,2.16E-08,Discovery
CDCA4,-1,4.50E-08,Discovery
NPAL3,1,7.40E-09,Discovery
AURKB,-1,4.48E-09,Discovery
COL16A1,1,4.30E-11,Discovery
LOC139886,-1,4.06E-08,Discovery
TSGA2,1,1.16E-11,Discovery
HDAC11,1,4.33E-08,Discovery
PDE6A,1,2.98E-07,Discovery
TAF5,-1,1.26E-09,Discovery
TOPBP1,-1,6.52E-08,Discovery
FLJ21127,1,9.62E-07,Discovery
PTRH1,1,4.54E-08,Discovery
PSG11,1,6.90E-07,Discovery
ZNF773,-1,1.92E-10,Discovery
UCP2,1,8.08E-10,Discovery
C15orf51,-1,3.92E-11,Discovery
TMEM125,1,5.17E-09,Discovery
INHBB,1,2.84E-08,Discovery
EIF4A2,1,2.17E-09,Discovery
KIF2C,-1,4.48E-09,Discovery
SLC25A33,-1,8.89E-10,Discovery
TOP2A,-1,5.76E-06,Discovery
ZFYVE1,1,8.11E-09,Discovery
INTS2,-1,2.05E-07,Discovery
ZNF462,1,2.37E-07,Discovery
CCDC34,-1,3.86E-08,Discovery
CCDC58,-1,2.60E-10,Discovery
MRPL47,-1,2.22E-13,Discovery
SPATA20,1,2.23E-08,Discovery
IFI6,1,1.51E-08,Discovery
HIPK2,1,1.14E-08,Discovery
TGFB3,-1,3.09E-08,Discovery
PHLDA1,1,8.79E-13,Discovery
ORC5L,-1,1.02E-06,Discovery
TBC1D4,-1,8.45E-08,Discovery
HTR3B,-1,5.31E-12,Discovery
MGC72104,1,0.0001480604694,Discovery
LCMT1,1,1.12E-07,Discovery
DNAJC12,1,2.76E-07,Discovery
ARL5A,-1,0.002532851809,Discovery
HIST1H2BH,-1,4.82E-08,Discovery
ARHGAP19,-1,8.57E-11,Discovery
TNFRSF12A,1,1.68E-10,Discovery
FLJ20273,-1,7.27E-09,Discovery
CXCL12,1,1.10E-10,Discovery
PPID,-1,3.35E-07,Discovery
SCD,-1,5.92E-08,Discovery
LOC729416,-1,2.24E-13,Discovery
TM7SF2,1,3.92E-10,Discovery
STAT1,1,1.37E-14,Discovery
PTPLAD2,-1,2.70E-13,Discovery
SYNPO2L,1,2.34E-11,Discovery
MRPL11,-1,6.66E-11,Discovery
SAMD4A,1,4.91E-11,Discovery
PEX11A,1,1.85E-07,Discovery
SVIL,1,6.85E-07,Discovery
PTPLB,-1,0.0002892801016,Discovery
MKL2,-1,8.26E-07,Discovery
APOA1,1,3.60E-08,Discovery
STAT2,1,1.17E-07,Discovery
CTBP2,1,3.96E-06,Discovery
STAT1,1,2.84E-13,Discovery
ZBTB11,-1,1.42E-07,Discovery
YES1,-1,0.001316288967,Discovery
GTF2H2,-1,1.68E-08,Discovery
TST,1,3.86E-08,Discovery
PARP14,1,1.94E-10,Discovery
SMNDC1,-1,2.19E-06,Discovery
STC2,1,2.01E-10,Discovery
POT1,-1,3.58E-11,Discovery
ZNF14,-1,3.95E-08,Discovery
LCN2,1,1.10E-06,Discovery
C10orf92,1,0.0001833630339,Discovery
RECQL,-1,1.48E-05,Discovery
ITGB3BP,-1,8.27E-05,Discovery
CROT,1,8.99E-08,Discovery
CENPH,-1,1.63E-10,Discovery
C1orf212,-1,2.93E-09,Discovery
KIAA0513,1,1.69E-10,Discovery
TMEM19,-1,1.11E-08,Discovery
CYP1B1,1,5.06E-05,Discovery
HAT1,-1,0.00139499146,Discovery
IGSF9,-1,6.54E-09,Discovery
EFCAB2,-1,2.79E-06,Discovery
GADD45A,1,3.22E-09,Discovery
SAE2,-1,2.18E-12,Discovery
PRIM2A,-1,4.13E-11,Discovery
PCNA,-1,5.54E-09,Discovery
PLEKHO1,-1,2.64E-07,Discovery
ICA1,-1,6.98E-10,Discovery
PRIM1,-1,6.93E-07,Discovery
PDZK1,1,1.94E-05,Discovery
ANXA3,1,1.54E-09,Discovery
CASP6,-1,7.68E-14,Discovery
APEG1,1,4.33E-08,Discovery
DDX20,-1,1.08E-08,Discovery
CAMK2B,1,8.75E-05,Discovery
HIST1H4H,1,3.52E-10,Discovery
PDLIM3,1,0.0002747130063,Discovery
HLA-DMA,1,1.31E-07,Discovery
CCDC99,-1,1.87E-07,Discovery
ASF1B,-1,6.08E-09,Discovery
KIF20A,-1,1.18E-08,Discovery
SMN1,-1,4.98E-05,Discovery
ZFP1,-1,3.13E-09,Discovery
C15orf21,-1,3.12E-16,Discovery
C12orf8,-1,2.18E-08,Discovery
PYGL,1,1.35E-07,Discovery
CYB5D2,1,6.29E-10,Discovery
LOC387934,-1,5.93E-13,Discovery
SFRS2,-1,1.02E-07,Discovery
STOM,1,6.57E-08,Discovery
SLC38A6,-1,1.14E-09,Discovery
TCHP,-1,5.83E-08,Discovery
TGFBRAP1,1,4.29E-06,Discovery
RBM39,-1,1.79E-10,Discovery
USP1,-1,1.37E-06,Discovery
NDRG4,1,1.83E-08,Discovery
DYNLRB2,1,1.54E-09,Discovery
C20orf27,-1,2.14E-09,Discovery
TINF2,1,7.44E-06,Discovery
TXNIP,1,4.16E-07,Discovery
HLA-DRB5,1,8.06E-09,Discovery
G6PD,1,0.000166897987,Discovery
CXorf38,1,2.04E-10,Discovery
CACNG4,1,1.41E-08,Discovery
FAM54A,-1,2.77E-09,Discovery
PHTF2,-1,0.0006308443086,Discovery
MBD3,-1,2.50E-09,Discovery
C4orf27,-1,1.03E-08,Discovery
MATN2,-1,4.19E-07,Discovery
C5orf33,-1,3.86E-09,Discovery
NAP1L1,-1,0.002675932371,Discovery
MSMB,1,2.72E-05,Discovery
TNFRSF10B,1,6.76E-11,Discovery
IFIT1,1,4.83E-08,Discovery
LIN9,-1,8.79E-05,Discovery
NRP1,1,1.26E-08,Discovery
TYRP1,1,3.09E-08,Discovery
RRAGD,1,6.26E-08,Discovery
BNIPL,1,6.09E-08,Discovery
OCIAD2,1,9.36E-09,Discovery
TROAP,-1,5.55E-09,Discovery
ZWILCH,-1,5.21E-09,Discovery
VAT1,1,7.76E-05,Discovery
KIAA1370,1,0.0001206813068,Discovery
SLK,-1,0.007707720131,Discovery
PMS1,-1,9.07E-05,Discovery
SAP30,-1,2.57E-08,Discovery
KCNK6,1,1.75E-08,Discovery
NUP35,-1,7.66E-08,Discovery
ALS2CR2,-1,2.62E-07,Discovery
RARRES3,1,5.16E-08,Discovery
ASCL1,1,4.06E-10,Discovery
IFIT3,1,2.66E-09,Discovery
ZYX,1,9.29E-08,Discovery
KARCA1,1,1.53E-07,Discovery
SYNJ1,-1,7.30E-06,Discovery
RACGAP1,-1,1.25E-08,Discovery
SPIN1,1,5.36E-07,Discovery
TRIM55,1,2.88E-05,Discovery
THUMPD1,-1,6.35E-09,Discovery
IDUA,1,2.53E-08,Discovery
UBE2L6,1,1.49E-08,Discovery
MAP1LC3B,1,2.59E-08,Discovery
CXorf57,-1,6.02E-06,Discovery
PDSS1,-1,1.23E-06,Discovery
FEM1C,-1,1.59E-05,Discovery
HLA-B,1,1.49E-07,Discovery
DYNC1LI1,-1,1.02E-10,Discovery
TBC1D9,1,5.37E-08,Discovery
DKFZp762E1312,-1,1.40E-07,Discovery
FBXO32,1,3.92E-11,Discovery
PHGDH,-1,2.97E-07,Discovery
RPS6KB1,-1,0.03708070812,Discovery
IGSF1,1,0.001356774209,Discovery
ATPBD1C,-1,1.26E-12,Discovery
ACTG1,1,4.92E-08,Discovery
TRIM5,1,4.18E-08,Discovery
TRIM58,1,4.51E-07,Discovery
FLJ10357,1,1.08E-09,Discovery
KRT80,1,3.70E-10,Discovery
