Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
ADAP2,3,TRUE,3.036290217,0.002395087103,0.03907140159
SCFD2,2,TRUE,-3.564976454,0.0003638888555,0.009249937794
SNN,3,TRUE,3.055590795,0.002246175823,0.03721772218
SNAI3,2,TRUE,3.632025573,0.0002812052467,0.007705145493
IFIT1,2,TRUE,4.24501384,2.19E-05,0.001093677204
TRIM69,3,TRUE,4.631893627,3.62E-06,0.0002492834469
THBS2,2,TRUE,-3.451168296,0.0005581653967,0.01281940659
INSIG1,2,TRUE,-3.00404545,0.002664155232,0.04205179685
SESTD1,2,TRUE,-3.186438893,0.001440359113,0.02677987768
TRPV2,2,TRUE,3.49801213,0.0004687398132,0.01120997595
SECISBP2,3,TRUE,-3.518834167,0.0004334475547,0.01051151838
EIF4EBP1,2,TRUE,-3.388489398,0.0007027874585,0.015418694
NBR1,2,TRUE,4.244058534,2.20E-05,0.001094021946
ADAT2,3,TRUE,-5.154843646,2.54E-07,2.75E-05
TDRD7,2,TRUE,2.946033567,0.003218774681,0.04868156354
RNF216P1,3,TRUE,-3.185348869,0.001445795984,0.02683626299
GREB1,3,TRUE,4.177729629,2.94E-05,0.001372562907
WDR5,2,TRUE,-4.129660947,3.63E-05,0.001608040913
SULF2,2,TRUE,5.674362023,1.39E-08,2.67E-06
ERI2,2,TRUE,2.982044752,0.002863301406,0.044474273
ZNF33B,2,TRUE,2.996236311,0.002733345228,0.04278669299
ADA,4,TRUE,3.935769185,8.29E-05,0.003042953904
LCE1C,2,TRUE,3.353575572,0.0007977462575,0.01705856398
ADARB1,2,TRUE,-3.240774623,0.001192053892,0.02335945854
AKR1B10,3,TRUE,4.056835354,4.97E-05,0.002024712262
ZNF789,2,TRUE,3.497674785,0.0004693330636,0.01120997595
MMP17,2,TRUE,-3.372166337,0.0007457939166,0.01616610478
ALPK2,2,TRUE,-3.578097195,0.0003461047542,0.00890516277
C1orf174,2,TRUE,-3.042132013,0.002349088463,0.03851957364
DAXX,2,TRUE,-3.208701297,0.001333359361,0.02561304423
TCEA3,4,TRUE,3.710567134,0.0002067954457,0.006274874475
NEU1,2,TRUE,6.681448179,2.37E-11,9.98E-09
ATP10A,3,TRUE,-3.321668509,0.0008948093256,0.01878506012
IFRD2,2,TRUE,-3.756260099,0.0001724714446,0.005458290044
HLA-F-AS1,2,TRUE,3.936991783,8.25E-05,0.003042953904
B3GALT4,3,TRUE,3.457132158,0.0005459570316,0.012634863
PLCXD2,2,TRUE,3.920856727,8.82E-05,0.003173191029
PEG10,2,TRUE,-3.078654924,0.002079373823,0.0351976284
MIR210HG,2,TRUE,-4.01084856,6.05E-05,0.002400880913
CLDN23,2,TRUE,3.569970078,0.0003570220072,0.00911396058
BOP1,2,TRUE,-3.27892924,0.001042017602,0.02091925422
MRM1,2,TRUE,-3.187382827,0.001435666145,0.02676597603
IL8,3,TRUE,-3.739940569,0.0001840637693,0.005739072057
DEPDC6,2,TRUE,3.308518507,0.0009379098584,0.01930287112
