Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
CDT1,4,TRUE,-3.386831196,0.0007070487714,0.007147854753
SELM,2,TRUE,3.424138648,0.0006167514598,0.006400359923
BASP1,2,TRUE,3.419504654,0.0006273525927,0.006469999142
FBXO32,3,TRUE,6.507414078,7.65E-11,2.68E-08
CALML4,3,TRUE,-7.288102046,3.14E-13,2.61E-10
SPATA7,2,TRUE,3.664197193,0.0002481155802,0.003083427623
POLD1,3,TRUE,-3.216250873,0.001298772422,0.0117224344
CDC42EP2,2,TRUE,-3.489025566,0.0004847847798,0.005277886015
TPM4,5,TRUE,2.819169071,0.004814815003,0.03582567047
SMC6,2,TRUE,-2.981402176,0.002869317008,0.02285831944
DHCR7,2,TRUE,-3.731363979,0.0001904458303,0.002569666659
ZMAT3,3,TRUE,3.383535481,0.0007155896065,0.007212275852
HMGB2,2,TRUE,-3.301871135,0.0009604218323,0.009166034474
KHDRBS1,3,TRUE,-3.964725749,7.35E-05,0.001433406093
ANP32C,2,TRUE,-3.27870329,0.001042852209,0.009760695128
RIT1,3,TRUE,2.932674835,0.003360556496,0.0262068251
PPP2R3A,3,TRUE,-3.703582831,0.0002125757277,0.002778101652
GPR87,2,TRUE,4.299666404,1.71E-05,0.0006051063493
ARSA,2,TRUE,3.646318153,0.0002660245792,0.003277028705
STMN1,3,TRUE,-3.670509771,0.0002420672155,0.003038724813
RAD54L,2,TRUE,-4.264050213,2.01E-05,0.0006578411801
EBP,2,TRUE,-3.502777793,0.0004604333921,0.005062484172
PHLDA3,2,TRUE,4.093637546,4.25E-05,0.001013981604
KLF10,3,TRUE,6.731608755,1.68E-11,7.44E-09
RFC5,2,TRUE,-3.87919467,0.0001048028594,0.00172135462
STX3,2,TRUE,4.204126586,2.62E-05,0.0007569222093
ISG20,2,TRUE,3.435805977,0.0005907939104,0.006188915105
PPP1R15A,2,TRUE,4.043430264,5.27E-05,0.001169219091
CSRP2,2,TRUE,-4.327507479,1.51E-05,0.000573236009
GAD1,3,TRUE,2.982269743,0.002861197832,0.0228209688
C17orf81,2,TRUE,-4.00931289,6.09E-05,0.001269837262
TFDP1,3,TRUE,-3.300489465,0.0009651633707,0.009184930961
MX1,2,TRUE,4.656104521,3.22E-06,0.0002201263247
TFPI,4,TRUE,5.757488236,8.54E-09,1.46E-06
LFNG,3,TRUE,2.878603193,0.003994405743,0.03036661371
CITED2,2,TRUE,3.762817297,0.0001680099438,0.002342981439
MCM7,2,TRUE,-3.803747935,0.0001425232069,0.002083657961
CDC20,2,TRUE,-4.001158643,6.30E-05,0.001283999375
TGFBI,2,TRUE,4.672037932,2.98E-06,0.0002088788233
DHTKD1,3,TRUE,-3.688331612,0.0002257293367,0.002898303913
CHEK1,2,TRUE,-3.665317011,0.0002470323925,0.003077264934
SKP2,3,TRUE,-6.025348666,1.69E-09,3.87E-07
MB,2,TRUE,3.8819284,0.0001036313928,0.001710560857
AMFR,3,TRUE,2.813247712,0.004904385424,0.03641068286
CDKN3,2,TRUE,-3.857380553,0.0001146086549,0.001815182792
KRT17,2,TRUE,3.244825485,0.001175226232,0.01081273153
ANKRD33,2,TRUE,3.163291923,0.00155995821,0.0136581518
GABARAPL1,3,TRUE,2.990598771,0.002784310681,0.02231474054
SPATA18,4,TRUE,2.792491038,0.005230391639,0.03844482341
PLCH1,2,TRUE,-3.712998134,0.0002048183981,0.002698532238
FHL2,2,TRUE,3.746810926,0.0001790969749,0.002461311434
CENPM,3,TRUE,-5.95038165,2.68E-09,5.74E-07
LYPD1,3,TRUE,3.230479125,0.001235829287,0.01126128276
SIAE,2,TRUE,4.478585208,7.51E-06,0.0003570193844
CHGA,2,TRUE,3.238247188,0.001202665581,0.01099613687
FOS,2,TRUE,3.377231569,0.000732193799,0.007324140076
RAD51AP1,2,TRUE,-2.992186024,0.002769874245,0.02225504305
PPP1R15B,2,TRUE,-4.726238746,2.29E-06,0.0001814941227
SVIL,3,TRUE,6.836156472,8.13E-12,4.16E-09
CHAC2,2,TRUE,-3.397637625,0.0006797038966,0.006924028055
CSNK1A1L,2,TRUE,-4.627967089,3.69E-06,0.0002338167225
SYTL2,2,TRUE,6.306604144,2.85E-10,7.59E-08
ACTA2,2,TRUE,4.647528497,3.36E-06,0.0002212519069
MND1,2,TRUE,-3.554981314,0.0003780059528,0.004277727608
CLCC1,3,TRUE,-3.469779612,0.0005208855796,0.005597626616
ZC3H12A,2,TRUE,3.226026855,0.001255215788,0.01139112609
SP110,3,TRUE,7.237442879,4.57E-13,3.38E-10
RHOC,3,TRUE,3.432143673,0.0005988302284,0.006263236917
SEPHS1,4,TRUE,-3.057043697,0.002235316869,0.01863324287
PBK,2,TRUE,-3.943356237,8.03E-05,0.001496654748
EXO1,2,TRUE,-3.84950704,0.0001183557821,0.001843800146
CHAF1B,2,TRUE,-3.123917017,0.001784607795,0.01541715721
UBE2H,4,TRUE,5.503421168,3.72E-08,5.76E-06
C9orf95,2,TRUE,4.123574672,3.73E-05,0.0009238350678
OASL,2,TRUE,8.205179347,2.30E-16,3.83E-13
NDUFA7,2,TRUE,4.33019883,1.49E-05,0.0005695288234
ALDH1B1,3,TRUE,-3.620592474,0.0002939291716,0.003497704561
LSM6,2,TRUE,-4.650190096,3.32E-06,0.0002212519069
IFNGR1,2,TRUE,4.138831975,3.49E-05,0.0008896820185
CUEDC1,2,TRUE,3.605011506,0.0003121390995,0.003661819564
DDIT3,2,TRUE,4.007060409,6.15E-05,0.001270059808
CYFIP2,3,TRUE,3.366355018,0.0007616860995,0.007584934033
ABCC3,2,TRUE,4.164243638,3.12E-05,0.000821341637
CNOT1,4,TRUE,-3.242147216,0.001186327236,0.01089979113
SIL1,2,TRUE,3.868285024,0.0001096035058,0.00177825005
UBD,2,TRUE,3.765219697,0.0001664027051,0.002325442845
SLC3A2,3,TRUE,2.824220247,0.004739580333,0.03530536212
MLF1IP,2,TRUE,-3.201747735,0.001365965631,0.01227892348
SIVA1,2,TRUE,-3.809040291,0.000139507226,0.002053101919
PRELID1,3,TRUE,-2.809783168,0.00495748872,0.03670600157
TP53I3,2,TRUE,3.290444817,0.001000291194,0.009479014323
C10orf116,2,TRUE,4.901575071,9.51E-07,9.24E-05
CADM1,3,TRUE,2.969771974,0.002980208734,0.0236285441
USP49,2,TRUE,-3.977568953,6.96E-05,0.001374288133
PDGFRL,2,TRUE,4.995794971,5.86E-07,6.29E-05
CIT,2,TRUE,-3.924992829,8.67E-05,0.001545446656
AGPAT2,3,TRUE,6.903999478,5.06E-12,2.80E-09
MCM2,2,TRUE,-4.237844779,2.26E-05,0.0007047862668
EDN1,2,TRUE,4.790443594,1.66E-06,0.0001401239597
FANCC,2,TRUE,-3.566275847,0.0003620902399,0.004138529683
PRICKLE2,2,TRUE,4.469223519,7.85E-06,0.0003651811301
IFIT3,3,TRUE,6.668609604,2.58E-11,1.07E-08
CDCA4,4,TRUE,-5.513774436,3.51E-08,5.56E-06
COL16A1,2,TRUE,4.662227535,3.13E-06,0.0002167478469
PDE6A,2,TRUE,3.623758503,0.000290352726,0.003486329121
TAF5,2,TRUE,-4.293606446,1.76E-05,0.0006122416239
TOPBP1,2,TRUE,-3.821222367,0.0001327918491,0.001989485091
PTRH1,2,TRUE,3.866707874,0.0001103144367,0.001781741963
ZNF773,2,TRUE,-4.502819628,6.71E-06,0.0003273109025
TMEM125,2,TRUE,4.130691027,3.62E-05,0.0009147727592
