Symbol,N_Datasets,Consistent_Direction,Combined_Z_Stouffer,Combined_P_Stouffer,Combined_P_Stouffer_BH
FAM13B,3,TRUE,2.751210553,0.005937546602,0.04802806521
IFT88,2,TRUE,3.253118982,0.001141456911,0.01362814209
NOP16,2,TRUE,-4.212198947,2.53E-05,0.0007409987849
CC2D2A,3,TRUE,-3.36695959,0.0007600182426,0.009935902887
RRM2B,2,TRUE,6.867166462,6.55E-12,1.61E-09
RRP12,2,TRUE,-3.012153119,0.002594017164,0.02551083085
MRTO4,2,TRUE,-3.609593344,0.0003066774032,0.004890450434
MCOLN3,2,TRUE,4.085023833,4.41E-05,0.001119331094
HAGH,2,TRUE,4.853898658,1.21E-06,6.44E-05
SPA17,2,TRUE,4.786096123,1.70E-06,8.36E-05
IPO5,3,TRUE,-3.837333499,0.0001243775091,0.002464920244
NTN1,3,TRUE,4.547341853,5.43E-06,0.0002189389788
ELOVL1,2,TRUE,-3.632842752,0.0002803158584,0.004579328762
FGFR2,4,TRUE,-4.75541636,1.98E-06,9.44E-05
PFKP,2,TRUE,-4.471874224,7.75E-06,0.0002921933756
HEATR6,2,TRUE,-2.936254713,0.003322014254,0.03081970378
FTSJ1,3,TRUE,-3.019467946,0.002532190862,0.02507654129
SIRT2,2,TRUE,2.838205794,0.004536792164,0.03916048641
HES2,3,TRUE,3.123205784,0.001788926224,0.01918407998
RPS6KA2,2,TRUE,-3.047133113,0.002310353726,0.02344302529
TRIB2,3,TRUE,-2.774755027,0.005524330241,0.04547352327
SLC6A15,4,TRUE,-3.678878533,0.0002342617999,0.00396909084
NLE1,2,TRUE,-2.912558684,0.003584808345,0.03266471227
CA12,3,TRUE,-5.127205708,2.94E-07,1.89E-05
ENO1,3,TRUE,-3.263322643,0.001101140817,0.01320852013
GRAMD4,3,TRUE,3.65738972,0.0002547968269,0.004232808145
SLC25A43,2,TRUE,-3.317112963,0.0009095283442,0.01147011313
PGM1,2,TRUE,-2.779704942,0.005440830956,0.045104877
MOK,2,TRUE,-4.965919644,6.84E-07,3.92E-05
GEMIN5,2,TRUE,-6.161661392,7.20E-10,1.14E-07
CYLD,3,TRUE,3.479488402,0.0005023721129,0.00716272739
CD82,2,TRUE,3.897883235,9.70E-05,0.002032213123
ORC1,2,TRUE,-3.244295167,0.001177416667,0.01395315206
MGST2,2,TRUE,3.390724234,0.0006970820365,0.009267105884
NOP14,2,TRUE,-3.260036444,0.001113978991,0.01333747105
ANKRD24,2,TRUE,3.027153323,0.00246868706,0.0246348181
PUS7,3,TRUE,-2.786235572,0.005332410406,0.04440778549
G2E3,3,TRUE,3.893212217,9.89E-05,0.002061621174
COL9A3,2,TRUE,5.228063672,1.71E-07,1.22E-05
MFSD11,2,TRUE,4.098692519,4.15E-05,0.001070139507
TBC1D2,2,TRUE,-4.023824678,5.73E-05,0.001377596116
IFT74,2,TRUE,4.019822411,5.82E-05,0.001397157843
MMP11,2,TRUE,3.963077936,7.40E-05,0.001690907549
PES1,3,TRUE,-2.769553427,0.00561331972,0.04587982049
BIK,2,TRUE,3.203330467,0.001358479973,0.01566348287
TTLL12,2,TRUE,-3.521586118,0.0004289733098,0.006342747723
CHADL,2,TRUE,3.836530154,0.0001247848807,0.002467688623
NFATC4,2,TRUE,2.799500085,0.005118180314,0.04307296015
